E/1986/35,I8600614,"",I8600638,I8600668,"","","",1,1
E/1987/35,I8700544,"",I8700549,"","","","",1,1
E/1988/98,I8800412,"",I8800446,I8800445,"","","",1,1
E/1994/39,I9400308,"",I9400313,I9400373,"","","",1,1
E/1999/41,I9900650,"",I9900668,"","","","",1,1
E/1999/41/REV.1(SUPP),I9900723,"",I9901196,"","","","",1,1
E/2001/41,I0100533,"",I0100530,I0100646,"","","",1,1
E/2002/41,I0200161,"",I0200162,I0200242,"","","",1,1
E/2002/41(A),I0200161,"","","","","","",1,1
E/2002/41(F),"","","",I0200242,"","","",1,1
E/2002/41(SUPP),"","",I020162,"","","","",1,0
E/2003/41,I0300347,"",I0300348,I0300349,"","","",1,1
E/2003/41/REV.1,I0300401,"",I0300367,"","","","",1,1
E/2003/41/REV.1(A),I0300401,"","","","","","",1,1
E/2005/41,I0500316,"",I0500317,I0500396,"","","",1,1
E/2006/41,I0600259,"",I0600245,I0600246,"","","",1,1
E/2008/41,I0800270,"",I0800271,I0800272,"","","",1,1
E/2010/41,I1000213,"",I1000214,I1000247,"","","",1,1
E/2012/41,I1200126,"",I1200134,I1200135,"","","",1,1
E/2012/41(SUPP),"","",N120134,"","","","",1,0
E/2014/41,I1400273,"",I1400274,I1400275,"","","",1,1
E/2016/41,I1600356,"",I1600357,I1700156,"","","",1,1
E/ESCWA/13/10,I8600256,"",I8600309,"","","","",1,1
E/ESCWA/13/11,I8600511,"",I8600268,"","","","",1,1
E/ESCWA/13/12,I8600236,"",I8600242,"","","","",1,1
E/ESCWA/13/14,I8600510,"",I8600509,"","","","",1,1
E/ESCWA/13/16/REV.1,I8600631,"",I8600630,"","","","",1,1
E/ESCWA/13/17,I8600614,"",I8600638,I8600668,"","","",1,1
E/ESCWA/13/1/REV.2,I8600574,"",I8600577,"","","","",1,1
E/ESCWA/13/2,I8600177,"",I8600178,"","","","",1,1
E/ESCWA/13/3/REV.3,I8600584,"",I8600583,"","","","",1,1
"E/ESCWA/13/4 (PART 10)/REV.1",I8600377,"","","","","","",1,1
"E/ESCWA/13/4 (PART 11)",I8600293,"","","","","","",1,1
"E/ESCWA/13/4 (PART 12)/REV.1",I8600471,"","","","","","",1,1
"E/ESCWA/13/4 (PART 13)",I8600295,"","","","","","",1,1
"E/ESCWA/13/4 (PART 14)",I8600296,"","","","","","",1,1
"E/ESCWA/13/4 (PART 15)",I8600297,"","","","","","",1,1
"E/ESCWA/13/4 (PART 16)",I8600298,"","","","","","",1,1
"E/ESCWA/13/4 (PART 1)",I8600257,"","","","","","",1,1
"E/ESCWA/13/4 (PART 2)",I8600284,"","","","","","",1,1
"E/ESCWA/13/4 (PART 3)/REV.1",I8600376,"","","","","","",1,1
"E/ESCWA/13/4 (PART 4)",I8600286,"","","","","","",1,1
"E/ESCWA/13/4 (PART 5)/REV.1",I8600468,"","","","","","",1,1
"E/ESCWA/13/4 (PART 6)/REV.1",I8600374,"","","","","","",1,1
"E/ESCWA/13/4 (PART 7)/REV.1",I8600375,"","","","","","",1,1
"E/ESCWA/13/4 (PART 8)",I8600290,"","","","","","",1,1
"E/ESCWA/13/4 (PART 9)",I8600291,"","","","","","",1,1
"E/ESCWA/13/4 (PART III)","","",I8600332,"","","","",1,1
"E/ESCWA/13/4 (PART II)","","",I8600331,"","","","",1,1
"E/ESCWA/13/4 (PART IV)","","",I8600333,"","","","",1,1
"E/ESCWA/13/4 (PART IX)","","",I8600338,"","","","",1,1
"E/ESCWA/13/4 (PART I)","","",I8600330,"","","","",1,1
"E/ESCWA/13/4 (PART VIII)","","",I8600337,"","","","",1,1
"E/ESCWA/13/4 (PART VII)/REV.1","","",I8600431,"","","","",1,1
"E/ESCWA/13/4 (PART VI)/REV.1","","",I8600439,"","","","",1,1
"E/ESCWA/13/4 (PART V)","","",I8600334,"","","","",1,1
"E/ESCWA/13/4 (PART XIII)","","",I8600342,"","","","",1,1
"E/ESCWA/13/4 (PART XII)/REV.1","","",I8600470,"","","","",1,1
"E/ESCWA/13/4 (PART XIV)/REV.1","","",I8600434,"","","","",1,1
"E/ESCWA/13/4 (PART XI)","","",I8600340,"","","","",1,1
"E/ESCWA/13/4 (PART XVI)","","",I8600345,"","","","",1,1
"E/ESCWA/13/4 (PART XV)","","",I8600344,"","","","",1,1
"E/ESCWA/13/4 (PART X)","","",I8600339,"","","","",1,1
E/ESCWA/13/4/ADD.1,I8600115,"",I8600116,"","","","",1,1
E/ESCWA/13/4/ADD.10,I8600282,"",I8600283,"","","","",1,1
E/ESCWA/13/4/ADD.11,I8600157,"",I8600156,"","","","",1,1
E/ESCWA/13/4/ADD.12,I8600146,"",I8600353,"","","","",1,1
E/ESCWA/13/4/ADD.13,I8600128,"",I8600127,"","","","",1,1
