48275,,E/ESCWA/NR/87/14,Generating energy from urban and rural wastes in a selected country of the ESCWA region :; the case of Egypt.,http://digitallibrary.un.org/record/48275/files/E_ESCWA_NR_87_14-EN.pdf
48276,,E/ESCWA/HS/87/5,Highlights of the human settlements situation in the Kingdom of Saudi Arabia :; country profile.,http://digitallibrary.un.org/record/48276/files/E_ESCWA_HS_87_5-AR.pdf; http://digitallibrary.un.org/record/48276/files/E_ESCWA_HS_87_5-EN.pdf
48283,,E/ESCWA/ID/87/WG.1/15,Final report of the Seminar and Workshop on Computer Application in Education.,
48691,,E/ESCWA/LIB/ACQ/88/1,"List of library acquisitions (monthly), v. 13, no. 1, Jan.-Mar. 1988.",
48692,,E/ESCWA/LIB/ACQ/88/2,"List of library acquisitions (monthly), v. 13, no. 2, Apr.-May 1988.",
51792,,E/ESCWA/LIB/DOC/88/2,"Major ESCWA documents deposited in the Library during 1988 /; Economic and Social Commission for Western Asia, Library and Documentation Section.",http://digitallibrary.un.org/record/51792/files/E_ESCWA_LIB_DOC_88_2-EN.pdf
56162,,E/ESCWA/LIB/ACQ/88/3,"List of Library acquisitions (monthly), v. 13, no. 3, June-July 1988.",
56181,,E/ESCWA/LIB/ACQ/88/4,"List of Library acquisitions, contents, v. 13, no. 4, September-October 1988.",http://digitallibrary.un.org/record/56181/files/E_ESCWA_LIB_ACQ_88_4-EN.pdf
56217,,E/ESCWA/HS/87/3,Highlights of the human settlements situation in the United Arab Emirates :; country profile.,http://digitallibrary.un.org/record/56217/files/E_ESCWA_HS_87_3-AR.pdf; http://digitallibrary.un.org/record/56217/files/E_ESCWA_HS_87_3-EN.pdf
58214,,E/ESCWA/AGREB/IX,"Agriculture and development in western Asia, no. 9, Dec. 1986.",http://digitallibrary.un.org/record/58214/files/E_ESCWA_AGREB_IX-AR.pdf
58298,,E/ESCWA/UNCTC/88/1/Rev.1,Impact of the operations of transnational corporations on development in the Sultanate of Oman.,
58299,,E/ESCWA/UNCTC/87/3/Rev.1,Impact of the operations of transnational corporations on development in Kuwait.,http://digitallibrary.un.org/record/58299/files/E_ESCWA_UNCTC_87_3_Rev.1-EN.pdf
58703,,E/ESCWA/HS/87/WG.1/2,"Proceedings of the Expert Group Meeting on Energy-efficient Building Materials for Low-Cost Housing, Amman, November 1987.",
58730,,E/ESCWA/UNCTC/87/4/Rev.1,Egypt's experience in regulating technology imports.,http://digitallibrary.un.org/record/58730/files/E_ESCWA_UNCTC_87_4_Rev.1-EN.pdf
58731,,E/ESCWA/UNCTC/88/2/Rev.1,"Egypt's experience with external financing, 1974-1986.",http://digitallibrary.un.org/record/58731/files/E_ESCWA_UNCTC_88_2_Rev.1-EN.pdf
58734,,E/ESCWA/DPD/88/7,Review of current developments and trends in the monetary and financial sectors in the ESCWA region (1987).,http://digitallibrary.un.org/record/58734/files/E_ESCWA_DPD_88_7-EN.pdf
58880,,E/ESCWA/DPD/88/5/Rev.1,"Survey of economic and social developments in the ESCWA region, 1987.",http://digitallibrary.un.org/record/58880/files/E_ESCWA_DPD_88_5_Rev.1-EN.pdf
58923,,E/ESCWA/AGREB/X,"Agriculture and development in western Asia, no. 10, Nov. 1987.",http://digitallibrary.un.org/record/58923/files/E_ESCWA_AGREB_X-EN.pdf
58936,,E/ESCWA/ID/87/WG.3/4,"Final report and documents of the Workshop on Major Marketing Issues relating to Trade in Petrochemicals and Fertilizers Produced in the Arab World and Their Impact on Future Investment in Those Countries, Amman, 22-24 September 1987.",
63584,,E/ESCWA/ID/85/16,"Workshop on Technology and Process Design Update :; Petrochemicals, Fertilizers and Oil and Gas Processing.",http://digitallibrary.un.org/record/63584/files/E_ESCWA_ID_85_16-EN.pdf
64566,,E/ESCWA/LIB/DOC/88/3,"Major ESCWA documents deposited in the Library, May-Sep. 1988.",http://digitallibrary.un.org/record/64566/files/E_ESCWA_LIB_DOC_88_3-EN.pdf
72441,,E/ESCWA/C.1/15/INF.2/Rev.1,"List of participants :; Economic and Social Commission for Western Asia, Technical Committee, 6th session, 13-15 May 1989, Baghdad.",http://digitallibrary.un.org/record/72441/files/E_ESCWA_C.1_15_INF.2_Rev.1-AR.pdf; http://digitallibrary.un.org/record/72441/files/E_ESCWA_C.1_15_INF.2_Rev.1-EN.pdf
72442,,E/ESCWA/C.1/15/L.1/Add.1,"Annotated provisional agenda :; Economic and Social Commission for Western Asia, Technical Committee, 6th session, 13-15 May 1989, Baghdad.",http://digitallibrary.un.org/record/72442/files/E_ESCWA_C.1_15_L.1_Add.1-EN.pdf
72497,,E/ESCWA/C.1/15/1,"Agenda :; Economic and Social Commission for Western Asia, Technical Committee, 6th session, 13-15 May 1989, Baghdad.",http://digitallibrary.un.org/record/72497/files/E_ESCWA_C.1_15_1-AR.pdf; http://digitallibrary.un.org/record/72497/files/E_ESCWA_C.1_15_1-EN.pdf
72498,,E/ESCWA/15/L.1/Add.1,"Annotated provisional agenda :; Economic and Social Commission for Western Asia, 15th session, 17-18 May 1989, Baghdad.",http://digitallibrary.un.org/record/72498/files/E_ESCWA_15_L.1_Add.1-EN.pdf
72499,,E/ESCWA/15/4/Rev.1,"Report of the Executive Secretary on the activities of the Commission :; Economic and Social Commission for Western Asia, 15th session, 17-18 May 1989, Baghdad.",http://digitallibrary.un.org/record/72499/files/E_ESCWA_15_4_Rev.1-AR.pdf; http://digitallibrary.un.org/record/72499/files/E_ESCWA_15_4_Rev.1-EN.pdf
72501,,E/ESCWA/15/L.1,"Provisional agenda :; Economic and Social Commission for Western Asia, 15th session, 17-18 May 1989, Baghdad.",http://digitallibrary.un.org/record/72501/files/E_ESCWA_15_L.1-EN.pdf
